"Type"	"Neural_pop"	"Genes_map_step1"	"Genes_map_step2"	"DV"	"DV_Color"	"Step1_Color"	"Step2_Color"
"Progenitor"	"RP"	"Sox2"	"Lmx1a, Msx1, Msx2, Pax3, Wnt1"	13	"#f14624ff"	"#FED908"	"#EE4824"
"Progenitor"	"dp1"	"Sox2"	"Pax3, Msx1, Msx2, Olig3, Irx3, Irx5, Pax6"	12	"#50abe4ff"	"#FED908"	"#50abe2"
"Progenitor"	"dp2"	"Sox2"	"Pax3, Msx1, Olig3, Irx3, Irx5, Pax6"	11	"#50abe4ff"	"#FED908"	"#50abe2"
"Progenitor"	"dp3"	"Sox2"	"Pax3, Pax6, Pax7, Msx1, Olig3, Irx3, Irx5, Gsx2, Ascl1, Gbx2"	10	"#50abe4ff"	"#FED908"	"#50abe2"
"Progenitor"	"dp4"	"Sox2"	"Pax3, Pax6, Pax7, Irx3, Irx5, Gsx1, Gsx2"	9	"#50abe4ff"	"#FED908"	"#50abe2"
"Progenitor"	"dp4"	"Sox2"	"Pax3, Ascl1, Gbx2"	9	"#50abe4ff"	"#FED908"	"#50abe2"
"Progenitor"	"dp5"	"Sox2"	"Pax3, Pax6, Pax7, Irx3, Irx5, Gsx1, Gsx2, Dbx2"	8	"#50abe4ff"	"#FED908"	"#50abe2"
"Progenitor"	"dp6"	"Sox2"	"Pax3, Pax6, Pax7, Dbx1, Dbx2, Irx3, Irx5, Sp8"	7	"#50abe4ff"	"#FED908"	"#50abe2"
"Progenitor"	"p0"	"Sox2"	"Dbx1, Dbx2, Irx3, Irx5, Pax6, Sp8"	6	"#393536ff"	"#FED908"	"#6D6E70"
"Progenitor"	"p1"	"Sox2"	"Nkx6-2, Dbx2, Prdm12, Irx3, Irx5, Pax6, Sp8"	5	"#393536ff"	"#FED908"	"#6D6E70"
"Progenitor"	"p2"	"Sox2"	"Nkx6-1, Irx3, Irx5, Foxn4, Pax6, Sp8"	4	"#393536ff"	"#FED908"	"#6D6E70"
"Progenitor"	"pMN"	"Sox2"	"Nkx6-1, Olig2, Sp8"	3	"#2f3591ff"	"#FED908"	"#8588BE"
"Progenitor"	"p3"	"Sox2"	"Nkx2-2, Nkx2-9, Nkx6-1"	2	"#2faa49ff"	"#FED908"	"#85CD94"
"Progenitor"	"FP"	"Sox2"	"Foxa2, Ferd3l, Arx, Shh, Lmx1b, Nkx6-1"	1	"#f14624ff"	"#FED908"	"#f14624ff"
"Progenitor"	"Null_Progenitor"	"Sox2"				"#FED908"	"#FED908"
"Neuron"	"dl1"	"Tubb3, Elavl3"	"Pou4f1, Lhx2, Lhx9, Barhl1, Barhl2"	12		"#FEA854"	"#50abe2"
"Neuron"	"dl1"	"Tubb3, Elavl3"	"Atoh1, Barhl1, Barhl2"	12		"#FEA854"	"#50abe2"
"Neuron"	"dl1"	"Tubb3, Elavl3"	"Barhl2, Lhx9, Lhx2"	12		"#FEA854"	"#50abe2"
"Neuron"	"dl2"	"Tubb3, Elavl3"	"Pou4f1, Foxd3, Lhx1, Lhx5"	11		"#FEA854"	"#50abe2"
"Neuron"	"dl3"	"Tubb3, Elavl3"	"Pou4f1, Isl1, Tlx3, Prrxl1, Otp"	10		"#FEA854"	"#50abe2"
"Neuron"	"dl3"	"Tubb3, Elavl3"	"Isl1, Otp"	10		"#FEA854"	"#50abe2"
"Neuron"	"dl4"	"Tubb3, Elavl3"	"Lhx1, Lhx5, Pax8"	9		"#FEA854"	"#50abe2"
"Neuron"	"dl4"	"Tubb3, Elavl3"	"Lbx1, Lhx1, Lhx5, Pax2"	9		"#FEA854"	"#50abe2"
"Neuron"	"dl4"	"Tubb3, Elavl3"	"Lhx1, Lhx5, Pax2, Gbx1"	9		"#FEA854"	"#50abe2"
"Neuron"	"dl4"	"Tubb3, Elavl3"	"Lbx1, Lhx1, Lhx5, Pax2, Gbx1, Bhlhe22"	9		"#FEA854"	"#50abe2"
"Neuron"	"dl4"	"Tubb3, Elavl3"	"Pax3, Pax7, Ptf1a, Gsx1, Gsx2"	9		"#FEA854"	"#50abe2"
"Neuron"	"dl5"	"Tubb3, Elavl3"	"Lbx1, Lmx1b, Pou4f1, Tlx3, Prrxl1"	8		"#FEA854"	"#50abe2"
"Neuron"	"dl5"	"Tubb3, Elavl3"	"Pax3, Pax7, Ascl1, Gsx1, Gsx2"	8		"#FEA854"	"#50abe2"
"Neuron"	"dl6"	"Tubb3, Elavl3"	"Lbx1, Lhx1, Lhx5, Pax2, Dmrt3, Wt1, Bhlhe22"	7		"#FEA854"	"#50abe2"
"Neuron"	"V0"	"Tubb3, Elavl3"	"Evx1, Evx2, Lhx1, Lhx5"	6		"#FEA854"	"#6D6E70"
"Neuron"	"V0"	"Tubb3, Elavl3"	"Pitx2"	6		"#FEA854"	"#6D6E70"
"Neuron"	"V1"	"Tubb3, Elavl3"	"En1, Foxd3, Lhx1, Lhx5"	5		"#FEA854"	"#6D6E70"
"Neuron"	"V1"	"Tubb3, Elavl3"	"En1, Bhlhe22, Pax2"	5		"#FEA854"	"#6D6E70"
"Neuron"	"V1"	"Tubb3, Elavl3"	"En1, Otp, Lhx1, Lhx5"	5		"#FEA854"	"#6D6E70"
"Neuron"	"V1"	"Tubb3, Elavl3"	"En1, Otp"	5		"#FEA854"	"#6D6E70"
"Neuron"	"V1"	"Tubb3, Elavl3"	"En1"	5		"#FEA854"	"#6D6E70"
"Neuron"	"V2a"	"Tubb3, Elavl3"	"Lhx3, Vsx2, Sox14, Sox21, Bhlhe22"	4		"#FEA854"	"#6D6E70"
"Neuron"	"V2a"	"Tubb3, Elavl3"	"Foxn4, Vsx1, Ascl1, Vsx2"	4		"#FEA854"	"#6D6E70"
"Neuron"	"V2b"	"Tubb3, Elavl3"	"Tal1, Gata2, Gata3, Bhlhe22"	4		"#FEA854"	"#6D6E70"
"Neuron"	"V2b"	"Tubb3, Elavl3"	"Gata3, Lhx1, Lhx5, Msx1"	4		"#FEA854"	"#6D6E70"
"Neuron"	"V2b"	"Tubb3, Elavl3"	"Foxn4, Vsx1, Ascl1, Gata2, Gata3"	4		"#FEA854"	"#6D6E70"
"Neuron"	"MN"	"Tubb3, Elavl3"	"Lhx3, Isl1, Isl2, Mnx1, Slc10a4, Slc18a3"	3		"#FEA854"	"#8588BE"
"Neuron"	"MN"	"Tubb3, Elavl3"	"Olig2, Isl1, Mnx1"	3		"#FEA854"	"#8588BE"
"Neuron"	"MN"	"Tubb3, Elavl3"	"Olig2, Isl1, Lhx3"	3		"#FEA854"	"#8588BE"
"Neuron"	"MN"	"Tubb3, Elavl3"	"Isl2, Aldh1a2, Slc18a3"	3		"#FEA854"	"#8588BE"
"Neuron"	"MN"	"Tubb3, Elavl3"	"Arhgap36, Slc10a4, Slc18a3"	3		"#FEA854"	"#8588BE"
"Neuron"	"V3"	"Tubb3, Elavl3"	"Nkx2-2, Sim1"	2		"#FEA854"	"#85CD94"
"Neuron"	"Null_Neuron"	"Tubb3, Elavl3"				"#FEA854"	"#FEA854"
"Blood"		"Sox17"				"#FF3E97"	
"Hematopoeitic"		"Fermt3"				"#FF3E97"	
"Erythropoeitic"		"Klf1"				"#FF3E97"	
"Erythrocytes"		"Hemgn"				"#FF3E97"	
"Erythrocytes II"		"Car2"				"#FF3E97"	
"Mesoderm I"		"Foxc1"				"#4CCF84"	
"Mesoderm II"		"Foxc2"				"#4CCF84"	
"Mesoderm III"		"Twist1"				"#4CCF84"	
"Mesoderm IV"		"Twist2"				"#4CCF84"	
"Mesoderm V"		"Meox1"				"#4CCF84"	
"Mesoderm VI"		"Meox2"				"#4CCF84"	
"Myoblast"		"Myog"				"#8DBD8D"	
"Neural Crest I"		"Sox10"				"#9081FD"	
"Neural Crest II"		"Sox10, Sox2"				"#9081FD"	
"Neural crest neurons I"		"Tubb3, Elavl3, Tlx2"				"#DEA2DD"	
"Neural crest neurons II"		"Tubb3, Elavl3, Sox10"				"#DEA2DD"	
"Neural crest neurons III"		"Tubb3, Elavl3, Six1"				"#DEA2DD"	
"Skin"		"Krt8"				"#ABDBF7"	
"NULL"						"#E0EEEE"	
